PSZ2 G038.68+24.50	 38.6815299	 24.5003847
PSZ2 G038.95-46.90	 38.9552971	-46.9019908
PSZ2 G039.21-75.96	 39.2166259	-75.9646172
PSZ2 G039.32-59.88	 39.3224244	-59.8806002
PSZ2 G039.34+73.28	 39.3436825	 73.2889245
PSZ2 G039.85-39.96	 39.8539557	-39.9638560
PSZ2 G039.86+18.70	 39.8690344	 18.7049591
PSZ2 G039.98-53.12	 39.9837302	-53.1201324
PSZ2 G040.03+74.95	 40.0382152	 74.9543015
PSZ2 G040.11-42.58	 40.1185759	-42.5862249
PSZ2 G040.28+37.36	 40.2816245	 37.3635019
PSZ2 G040.58+77.12	 40.5844314	 77.1203591
PSZ2 G041.43-66.81	 41.4369013	-66.8127366
PSZ2 G041.45+29.10	 41.4516310	 29.1006256
PSZ2 G041.69+21.68	 41.6997924	 21.6860807
PSZ2 G042.19+63.00	 42.1966920	 63.0086092
PSZ2 G042.32+17.48	 42.3280433	 17.4855322
PSZ2 G042.53+35.20	 42.5323187	 35.2033984
PSZ2 G042.54+18.02	 42.5414972	 18.0237468
PSZ2 G042.81+56.61	 42.8117276	 56.6100857
PSZ2 G042.81-82.97	 42.8130097	-82.9734066
PSZ2 G043.44-41.27	 43.4483901	-41.2781735
PSZ2 G044.07-59.30	 44.0729912	-59.3048612
PSZ2 G044.20+48.66	 44.2036593	 48.6698970
PSZ2 G044.21+52.13	 44.2185981	 52.1365515
PSZ2 G044.46-65.42	 44.4635036	-65.4240555
PSZ2 G044.58-20.46	 44.5890757	-20.4642562
PSZ2 G044.77-51.30	 44.7720505	-51.3032814
PSZ2 G044.83+10.02	 44.8389625	 10.0217292
PSZ2 G045.04+30.38	 45.0422521	 30.3817681
PSZ2 G045.10-43.18	 45.1001163	-43.1806085
PSZ2 G045.13+67.78	 45.1386404	 67.7873847
PSZ2 G045.20+15.63	 45.2065257	 15.6301546
PSZ2 G045.32-38.46	 45.3229375	-38.4690489
PSZ2 G045.47+17.80	 45.4797803	 17.8003587
