Abell name       RA        Dec
ABELL97S         00:54:30  -65:51
ABELL2875        01:08:12  -65:42
ABELL57S         00:28:18  -65:41
ABELL2774        00:25:30  -65:40
ABELL33S         00:22:18  -65:39
ABELL841S        20:05:36  -65:37
ABELL3219        04:06: 0  -65:36
ABELL3092        03:08: 6  -65:34
ABELL2760        00:19:12  -65:33
ABELL797S        17:52:24  -65:29
ABELL982S        21:58:24  -65:27
ABELL4002        23:24:54  -65:20
ABELL856S        20:12:36  -65:14
ABELL4062        23:57:42  -65:13
ABELL3216        04:04: 6  -65:12
ABELL18S         00:14:12  -65:10
ABELL212S        01:58:54  -65:04
ABELL3248        04:21: 0  -65:02
ABELL411S        04:00:48  -64:58
ABELL3389        06:21:48  -64:57
ABELL585S        06:22:24  -64:55
ABELL82S         00:48:18  -64:54
ABELL241S        02:17:48  -64:49
ABELL3241        04:16:54  -64:47
ABELL846S        20:08:24  -64:45
ABELL42S         00:25:30  -64:43
ABELL3061        02:51: 0  -64:43
ABELL910S        20:57:24  -64:39
ABELL2899        01:19:42  -64:39
ABELL3231        04:11:54  -64:36
ABELL348S        03:23: 0  -64:33
ABELL378S        03:40:12  -64:33
ABELL396S        03:48: 0  -64:33
ABELL79S         00:47:24  -64:31
ABELL2761        00:19:18  -64:31
ABELL976S        21:49:24  -64:30
ABELL2796        00:36:42  -64:28
ABELL3810        21:48: 6  -64:28
ABELL2732        00:10:12  -64:26
ABELL4033        23:46:18  -64:25
ABELL210S        01:57:36  -64:23
ABELL3921        22:49:48  -64:23
ABELL23S         00:18: 0  -64:21
ABELL1156S       23:50:18  -64:20
ABELL25S         00:18:54  -64:17
ABELL169S        01:34:12  -64:14
ABELL362S        03:32:48  -64:14
ABELL1159S       23:53:36  -64:14
ABELL1022S       22:25:18  -64:14
ABELL2821        00:47:54  -64:11
ABELL1116S       23:22:42  -64:05
ABELL3018        02:26: 0  -64:01
ABELL594S        06:41:48  -63:57
ABELL406S        03:57:36  -63:56
ABELL257S        02:23:42  -63:51
ABELL3251        04:22:36  -63:48
ABELL413S        04:02:42  -63:47
ABELL4028        23:43:12  -63:47
ABELL3652        19:52:48  -63:44
ABELL1054S       22:40: 6  -63:42
ABELL3230        04:11:36  -63:41
ABELL3010        02:21:42  -63:41
ABELL262S        02:25:24  -63:36
ABELL816S        19:31:24  -63:35
ABELL937S        21:21:36  -63:35
ABELL3242        04:17:12  -63:35
ABELL2819        00:45:48  -63:35
ABELL3401        06:40:42  -63:27
ABELL805S        18:47:12  -63:19
ABELL261S        02:25:12  -63:13
ABELL2740        00:12:42  -63:12
ABELL56S         00:28:18  -63:10
ABELL990S        22:05:36  -63:08
ABELL1154S       23:49:30  -63:06
ABELL3097        03:12: 0  -63:06
ABELL943S        21:26:12  -63:02
ABELL3983        23:14:30  -63:02
ABELL3687        20:33:24  -63:01
ABELL582S        06:20: 6  -62:55
ABELL954S        21:34:54  -62:54
ABELL3393        06:25:42  -62:53
ABELL194S        01:48: 0  -62:52
ABELL3191        03:57: 0  -62:49
ABELL567S        06:06: 6  -62:48
ABELL3907        22:45:24  -62:48
ABELL3884        22:31:36  -62:48
ABELL4036        23:47:12  -62:46
ABELL4051        23:53:30  -62:44
ABELL3294        04:51:48  -62:44
ABELL3229        04:11: 6  -62:43
ABELL2797        00:37: 0  -62:39
ABELL2785        00:31: 6  -62:39
ABELL3398        06:35:30  -62:37
ABELL3147        03:37:12  -62:35
ABELL381S        03:43:30  -62:33
ABELL1053S       22:39:54  -62:29
ABELL500S        04:46:42  -62:27
ABELL967S        21:45: 6  -62:25
ABELL2826        00:49:36  -62:25
ABELL3898        22:40:24  -62:24
ABELL4006        23:27:36  -62:24
ABELL65S         00:40:24  -62:23
ABELL3924        22:51:54  -62:21
ABELL248S        02:20:12  -62:21
ABELL460S        04:27:24  -62:18
ABELL143S        01:15:36  -62:16
ABELL183S        01:42:48  -62:15
ABELL1144S       23:45: 0  -62:14
ABELL3935        22:54:18  -62:07
ABELL1011S       22:20: 0  -62:05
ABELL1001S       22:12:30  -62:04
ABELL196S        01:48:12  -62:02
ABELL3782        21:34:30  -62:01
ABELL511S        05:07: 6  -61:59
ABELL1003S       22:13:24  -61:55
ABELL309S        02:53:48  -61:53
ABELL869S        20:25:54  -61:48
ABELL3287        04:43: 6  -61:42
ABELL312S        02:54:48  -61:42
ABELL3362        05:40:54  -61:42
ABELL408S        03:58:12  -61:41
ABELL185S        01:43:24  -61:39
ABELL3642        19:36:30  -61:37
ABELL3830        22:03:42  -61:35
ABELL137S        01:11:48  -61:32
ABELL859S        20:16:48  -61:31
ABELL387S        03:46:12  -61:29
ABELL3266        04:31:12  -61:28
ABELL4001        23:23:24  -61:27
ABELL429S        04:08:48  -61:26
ABELL3703        20:40: 0  -61:20
ABELL524S        05:20:24  -61:17
ABELL225S        02:07: 6  -61:12
ABELL1007S       22:17:18  -61:08
ABELL2810        00:41:30  -61:05
ABELL3954        23:01: 0  -61:03
ABELL3941        22:55:54  -60:56
ABELL3923        22:50: 0  -60:55
ABELL819S        19:32:36  -60:54
ABELL3627        16:15:30  -60:54
ABELL3976        23:08:24  -60:51
ABELL426S        04:08:30  -60:49
ABELL415S        04:03:42  -60:48
ABELL3244        04:18:36  -60:48
